,Name,Depth,Position,Type of Player,Team,ProjectedPoints,Price
0,Cam Newton,1,QB,Main Team,CAR,278.8,16.6
1,Ty Montgomery,1,RB,Main Team,GBP,140.9,14.9
2,C.J. Anderson,2,RB,Main Team,DEN,128.8,7.9
3,Antonio Brown,3,WR,Main Team,PIT,194.6,55.3
4,Julio Jones,1,WR,Main Team,ATL,187.8,51.3
5,Emmanuel Sanders,2,WR,Main Team,DEN,125.7,15.2
6,Justin Tucker,1,K,Main Team,BAL,147.0,9.2
7,Martellus Bennett,1,TE,Main Team,GBP,95.9,6.9
8,Denver Broncos,1,DEF,Main Team,DEN,129.0,7.6
9,Tyrod Taylor,2,QB,Bench,BUF,255.8,5.1
10,Jonathan Stewart,3,RB,Bench,CAR,111.7,2.9
11,Theo Riddick,4,RB,Bench,DET,104.2,1.3
12,Rishard Matthews,4,WR,Bench,TEN,102.3,2.9
13,John Brown,5,WR,Bench,ARI,95.8,1.3
14,Coby Fleener,2,TE,Bench,NOS,81.7,1.6
